wavenumber,E1,E2,E3,E4,E5,E6,E7,E8,M2E2,
3886.826,0.011551,0.019016,0.013432,0.0083843,0.0095124,0.009289,0.0089764,0.012344,0.013086,
3886.343,0.01155522,0.019125,0.013424,0.0084309,0.009569,0.0093267,0.0090437,0.012394,0.013108,
3885.861,0.01158278,0.019246,0.013444,0.0084882,0.0096315,0.0093729,0.0091209,0.012461,0.013151,
3885.379,0.01162539,0.019344,0.013485,0.008541,0.0096827,0.0094137,0.0091859,0.012526,0.013202,
3884.897,0.01166868,0.019389,0.013534,0.0085756,0.009709,0.0094367,0.0092202,0.01257,0.013244,
3884.415,0.0116969,0.019372,0.013575,0.0085847,0.0097056,0.0094362,0.009216,0.012583,0.013261,
3883.933,0.01170061,0.019304,0.013598,0.0085706,0.0096782,0.0094156,0.00918,0.012564,0.013251,
3883.451,0.01167916,0.019211,0.013602,0.0085424,0.009639,0.0093843,0.0091279,0.012525,0.013216,
3882.969,0.01163999,0.019124,0.01359,0.0085124,0.0096019,0.0093543,0.0090781,0.012482,0.013168,
3882.487,0.01159432,0.019065,0.013572,0.008491,0.0095782,0.0093352,0.0090459,0.012449,0.01312,
3882.004,0.01155443,0.019048,0.013557,0.0084843,0.009574,0.0093329,0.0090396,0.012436,0.013083,
3881.522,0.01153119,0.019073,0.013553,0.0084931,0.0095893,0.0093478,0.0090596,0.012446,0.013064,
3881.04,0.01153048,0.019131,0.013563,0.0085123,0.0096187,0.0093753,0.0090984,0.012477,0.013066,
