Cluster 1	Cluster 2	Distancia	Elementos fusionados
1205.0	1270.0	0.4250415900023356	9.0
1245.0	1335.0	0.42634680560365007	20.0
881.0	1334.0	0.42875709792188876	14.0
1192.0	1305.0	0.4306890630149775	6.0
1261.0	1317.0	0.4308829742639249	5.0
1152.0	1242.0	0.4316661804240987	5.0
1081.0	1279.0	0.4345062503126205	9.0
558.0	1204.0	0.4347188248949838	3.0
472.0	487.0	0.438276373643737	2.0
1217.0	1236.0	0.442705421715564	5.0
1109.0	1239.0	0.44461537593664446	8.0
454.0	1267.0	0.44499831485225355	5.0
1103.0	1306.0	0.44725317761589045	11.0
1321.0	1338.0	0.4479682087430399	11.0
1207.0	1252.0	0.45060817995500807	11.0
1078.0	1241.0	0.45218793148422726	10.0
1201.0	1301.0	0.45493888254310105	10.0
1283.0	1330.0	0.4573075195277247	13.0
1216.0	1244.0	0.4677648138411582	12.0
1146.0	1336.0	0.47055663803665815	13.0
1140.0	1344.0	0.47537593417197427	15.0
1259.0	1346.0	0.47653371341716344	12.0
1167.0	1286.0	0.47725906415008534	5.0
1059.0	1278.0	0.4782929698053349	13.0
1272.0	1309.0	0.48051084437534825	5.0
1027.0	1299.0	0.4805435692585748	11.0
416.0	1282.0	0.48499768305283864	5.0
1222.0	1316.0	0.4931469450923616	20.0
1173.0	1209.0	0.4950424586048866	16.0
1202.0	1324.0	0.4975109930510059	9.0
1264.0	1319.0	0.5006179275358426	13.0
