eje_x,aspirin_ftir,aspirin_raman
653,0.0009142597329639,
654,0.0009415858846597,
655,0.0009691221343682,
656,0.0009968396699092,
657,0.0010247085008087,
658,0.0010526975007078,
659,0.0010807744545732,
660,0.0011089061106632,
661,0.0011370582371818,
662,0.0011651956835291,
663,0.0011932824460375,
664,0.001221281738055,
665,0.0012491560642186,
666,0.0012768672987362,
667,0.001304376767474,
668,0.0013316453336245,
669,0.0013586334867099,
670,0.0013853014346548,
671,0.0014116091986431,
672,0.0014375167104575,
673,0.001462983911979,
674,0.0014879708565125,
675,0.0015124378115879,
676,0.0015363453628734,
677,0.0015596545188266,
678,0.0015823268157003,
679,0.001604324422511,
680,0.001625610245573,
681,0.0016461480321964,
682,0.0016659024731456,
683,0.0016848393034556,
684,0.0017029254012034,
685,0.0017201288838387,
686,0.0017364192016809,
687,0.0017517672282011,
688,0.0017661453467149,
689,0.0017795275331254,
690,0.0017918894343708,
691,0.0018032084422436,
692,0.0018134637622706,
693,0.0018226364773588,
694,0.0018307096059345,
695,0.0018376681543265,
696,0.001843499163166,
697,0.0018481917476034,
698,0.0018517371311663,
699,0.0018541286731122,
700,0.0018553618891559,
701,0.0018554344654812,
702,0.0018543462659764,
703,0.0018520993326601,
704,0.001848697879298,
705,0.0018441482782361,
706,0.0018384590405097,
707,0.0018316407893145,
708,0.0018237062269551,
709,0.0018146700954156,
710,0.0018045491307235,
711,0.0017933620113041,
712,0.0017811293005486,
713,0.0017678733838443,
714,0.0017536184003347,
715,0.0017383901697025,
716,0.0017222161142846,
717,0.0017051251768499,
718,0.001687147734382,
719,0.0016683155082287,
720,0.0016486614709877,
721,0.0016282197505121,
722,0.0016070255314245,
723,0.0015851149545381,
724,0.0015625250145836,
725,0.001539293456648,
726,0.0015154586717261,
727,0.0014910595917888,
728,0.001466135584764,
729,0.0014407263498244,
730,0.001414871813366,
731,0.001388612026053,
732,0.0013619870612935,
733,0.0013350369154988,
734,0.0013078014104624,
735,0.001280320098182,
736,0.0012526321684302,
737,0.0012247763593599,
738,0.0011967908714135,
739,0.0011687132847838,
740,0.0011405804806542,
